地域階層,地域コード,項番 Item number,地域,District,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees,総数 Total／年間商品販売額 Annual sales of goods,卸売業 Wholesale trade／事業所数 Number of establishments,卸売業 Wholesale trade／従業者数 Number of employees,卸売業 Wholesale trade／年間商品販売額 Annual sales of goods,小売業 Retail trade／事業所数 Number of establishments,小売業 Retail trade／従業者数 Number of employees,小売業 Retail trade／年間商品販売額 Annual sales of goods,小売業 Retail trade／売場面積 Sales floor space (m2)
0,13000,,東京都,Tokyo-to,104413,1576575,176190281,36197,845703,156941226,68216,730872,19249055,10452081
1,13100,,区部,All ku,82756,1332336,168563606,32004,799220,153157460,50752,533116,15406146,6952044
2,13101,1,千代田区,Chiyoda-ku,5736,164686,44993875,3256,137173,44149575,2480,27513,844300,391617
2,13102,2,中央区,Chuo-ku,6585,156286,29067069,4156,126311,27531224,2429,29975,1535845,466524
2,13103,3,港区,Minato-ku,5475,168399,35080369,3045,139734,33766074,2430,28665,1314295,257826
2,13104,4,新宿区,Shinjuku-ku,4111,75448,6487225,1200,39788,5020181,2911,35660,1467044,592901
2,13105,5,文京区,Bunkyo-ku,2163,30935,4207870,1011,21714,3998312,1152,9221,209558,73637
2,13106,6,台東区,Taito-ku,5477,57994,4076072,2957,39762,3639184,2520,18232,436888,245203
2,13107,7,墨田区,Sumida-ku,2852,32420,1960020,1320,17512,1612837,1532,14908,347183,205505
2,13108,8,江東区,Koto-ku,3788,69195,6042806,1652,42462,4850338,2136,26733,1192468,381951
2,13109,9,品川区,Shinagawa-ku,3305,79601,10136196,1467,57830,9561433,1838,21771,574763,225975
2,13110,10,目黒区,Meguro-ku,2060,22714,1585956,521,8258,1305353,1539,14456,280603,133206
2,13111,11,大田区,Ota-ku,5048,66806,4374139,1774,34471,3718114,3274,32335,656025,363248
2,13112,12,世田谷区,Setagaya-ku,4458,44673,1783330,832,8406,1009363,3626,36267,773967,407898
2,13113,13,渋谷区,Shibuya-ku,4533,78381,6592559,1488,42472,5002150,3045,35909,1590409,530805
2,13114,14,中野区,Nakano-ku,1800,19928,1135266,434,6854,793380,1366,13074,341886,129833
2,13115,15,杉並区,Suginami-ku,2987,26229,997551,589,5701,588857,2398,20528,408694,210713
2,13116,16,豊島区,Toshima-ku,3206,41470,2044044,878,13571,1186079,2328,27899,857965,443546
2,13117,17,北区,Kita-ku,1943,20038,1701264,565,7380,1484348,1378,12658,216916,147899
2,13118,18,荒川区,Arakawa-ku,1506,12819,571795,518,4885,430492,988,7934,141304,84074
2,13119,19,板橋区,Itabashi-ku,2816,32746,1334278,832,11300,925119,1984,21446,409159,269782
2,13120,20,練馬区,Nerima-ku,3005,32250,936628,705,5950,441425,2300,26300,495204,331536
2,13121,21,足立区,Adachi-ku,4111,40590,1397800,1211,12694,864603,2900,27896,533198,446421
2,13122,22,葛飾区,Katsushika-ku,2535,23661,689947,632,5699,388562,1903,17962,301385,245201
2,13123,23,江戸川区,Edogawa-ku,3156,33458,1118524,939,8257,653374,2217,25201,465151,359046
2,13199,24,境界未定地域,Areas where boundaries are not fixed,100,1609,249023,22,1036,237084,78,573,11939,7697
1,13200,,市部,All shi,20763,237729,7464741,4034,45130,3713918,16729,192599,3750822,3394096
2,13201,1,八王子市,Hachioji-shi,3044,36379,1252561,766,8861,716947,2278,27518,535614,503495
2,13202,2,立川市,Tachikawa-shi,1475,18569,810035,378,4987,529338,1097,13582,280697,295270
2,13203,3,武蔵野市,Musashino-shi,1379,14644,342798,146,2429,107118,1233,12215,235681,233464
2,13204,4,三鷹市,Mitaka-shi,689,7554,216528,139,1177,77573,550,6377,138955,75995
2,13205,5,青梅市,Ome-shi,764,7799,347722,140,1612,222609,624,6187,125113,129555
2,13206,6,府中市,Fuchu-shi,1149,14598,563635,293,3699,355776,856,10899,207860,170897
2,13207,7,昭島市,Akishima-shi,617,7935,269321,153,1989,148426,464,5946,120896,135590
2,13208,8,調布市,Chofu-shi,1082,13837,418216,190,2856,196888,892,10981,221329,149274
2,13209,9,町田市,Machida-shi,2141,24343,653206,337,2801,168561,1804,21542,484645,404544
2,13210,10,小金井市,Koganei-shi,467,5058,103593,86,630,35087,381,4428,68505,61423
